Device,Fold,Accuracy,Precision,Recall,F1,AUC_PR
M7,Fold 1,0.651,0.657,0.986,0.789,0.972
M7,Fold 2,0.67,0.67,1,0.802,0.928
M7,Fold 3,0.66,0.66,1,0.795,0.992
M7,Mean,0.66,0.663,0.995,0.796,0.964
X7,Fold 1,0.8,0.824,0.964,0.889,0.91
X7,Fold 2,0.585,0.642,0.855,0.734,0.826
X7,Fold 3,0.973,0.983,0.989,0.986,0.999
X7,Mean,0.786,0.816,0.936,0.869,0.912
X300,Fold 1,0.621,0.628,0.983,0.766,0.919
X300,Fold 2,0.985,1,0.978,0.989,1
X300,Fold 3,0.671,0.671,1,0.803,0.997
X300,Mean,0.759,0.766,0.987,0.853,0.972
ALL,Grand Mean,0.735,0.748,0.973,0.839,0.949
