Device,K_or_Mean,Accuracy,Precision,Recall,F1,AUC_PR
M7,1,0.646,0.818,0.607,0.677,0.853
M7,3,0.721,0.863,0.703,0.762,0.896
M7,5,0.717,0.851,0.71,0.753,0.902
M7,10,0.737,0.854,0.733,0.773,0.907
M7,Mean,0.705,0.846,0.688,0.742,0.89
X7,1,0.723,0.962,0.711,0.785,0.981
X7,3,0.828,0.981,0.823,0.882,0.99
X7,5,0.861,0.996,0.856,0.92,0.997
X7,10,0.878,0.996,0.874,0.931,0.997
X7,Mean,0.823,0.984,0.816,0.879,0.991
X300 Pro,1,0.502,0.806,0.377,0.482,0.756
X300 Pro,3,0.511,0.743,0.415,0.515,0.758
X300 Pro,5,0.509,0.744,0.402,0.506,0.757
X300 Pro,10,0.568,0.76,0.527,0.613,0.785
X300 Pro,Mean,0.522,0.763,0.43,0.529,0.764
ALL,Grand Mean,0.683,0.864,0.645,0.717,0.882
