Device,Fold,K_or_Mean,Accuracy,Precision,Recall,F1,AUC_PR
M7,Fold 1,1,0.754,1.000,0.628,0.725,0.976
M7,Fold 1,3,0.850,1.000,0.774,0.850,0.968
M7,Fold 1,5,0.874,1.000,0.811,0.884,0.992
M7,Fold 1,10,0.883,1.000,0.828,0.892,0.992
M7,Fold 1,Mean,0.840,1.000,0.760,0.838,0.982
M7,Fold 2,1,0.692,1.000,0.541,0.666,0.970
M7,Fold 2,3,0.846,1.000,0.772,0.867,0.994
M7,Fold 2,5,0.853,1.000,0.784,0.869,0.993
M7,Fold 2,10,0.894,1.000,0.845,0.912,0.996
M7,Fold 2,Mean,0.821,1.000,0.735,0.829,0.988
M7,Fold 3,1,0.675,1.000,0.510,0.652,0.965
M7,Fold 3,3,0.816,0.999,0.724,0.837,0.982
M7,Fold 3,5,0.849,1.000,0.773,0.871,0.985
M7,Fold 3,10,0.842,1.000,0.767,0.867,0.986
M7,Fold 3,Mean,0.795,1.000,0.693,0.807,0.979
X7,Fold 1,1,0.397,0.986,0.280,0.410,0.927
X7,Fold 1,3,0.535,0.989,0.445,0.601,0.938
X7,Fold 1,5,0.594,0.992,0.518,0.668,0.956
X7,Fold 1,10,0.658,0.994,0.599,0.742,0.971
X7,Fold 1,Mean,0.546,0.990,0.461,0.605,0.948
X7,Fold 2,1,0.658,0.941,0.537,0.672,0.866
X7,Fold 2,3,0.713,0.925,0.638,0.740,0.909
X7,Fold 2,5,0.754,0.962,0.670,0.775,0.939
X7,Fold 2,10,0.724,0.977,0.615,0.745,0.946
X7,Fold 2,Mean,0.712,0.951,0.615,0.733,0.915
X7,Fold 3,1,0.693,0.999,0.683,0.784,0.997
X7,Fold 3,3,0.814,1.000,0.807,0.892,0.999
X7,Fold 3,5,0.843,1.000,0.837,0.910,0.999
X7,Fold 3,10,0.872,1.000,0.867,0.928,0.999
X7,Fold 3,Mean,0.805,1.000,0.799,0.879,0.999
X300,Fold 1,1,0.622,0.922,0.411,0.506,0.843
X300,Fold 1,3,0.685,0.976,0.513,0.625,0.929
X300,Fold 1,5,0.748,0.958,0.643,0.729,0.934
X300,Fold 1,10,0.702,0.967,0.559,0.663,0.937
X300,Fold 1,Mean,0.689,0.956,0.531,0.631,0.911
X300,Fold 2,1,0.846,1.000,0.769,0.853,1.000
X300,Fold 2,3,0.957,1.000,0.935,0.966,1.000
X300,Fold 2,5,0.955,1.000,0.933,0.965,1.000
X300,Fold 2,10,0.954,1.000,0.933,0.965,1.000
X300,Fold 2,Mean,0.928,1.000,0.893,0.937,1.000
X300,Fold 3,1,0.783,0.998,0.679,0.796,0.993
X300,Fold 3,3,0.857,0.995,0.793,0.879,0.993
X300,Fold 3,5,0.893,0.995,0.848,0.913,0.996
X300,Fold 3,10,0.872,0.997,0.818,0.897,0.995
X300,Fold 3,Mean,0.851,0.996,0.785,0.871,0.994
ALL,Grand Mean,1,0.680,0.983,0.560,0.674,0.949
ALL,Grand Mean,3,0.786,0.987,0.711,0.806,0.968
ALL,Grand Mean,5,0.818,0.990,0.757,0.843,0.977
ALL,Grand Mean,10,0.822,0.993,0.759,0.846,0.980
